invoice_id,customer_name,customer_segment,vendor_name,invoice_amount,invoice_date,due_date,payment_date,payment_status,days_to_pay,is_late,days_overdue
INV-2026-00001,Cascade Foods,Mid-Market,WorkCapital Hub,39343.92,2026-01-07,2026-02-21,2026-03-27,Late,79,1,34
INV-2026-00002,Summit Financial,Enterprise,WorkCapital Hub,44857.61,2026-01-01,2026-03-02,2026-02-22,Paid,52,0,0
INV-2026-00003,Terra Farms,SMB,CloudServe Inc,5766.24,2025-10-29,2025-11-28,2025-11-27,Paid,29,0,0
INV-2026-00004,Vertex Biotech,Enterprise,TradeLedger Finance,142503.6,2026-02-05,2026-04-06,2026-03-31,Paid,54,0,0
INV-2026-00005,Quantum Analytics,SMB,NetScale Partners,6027.28,2026-01-10,2026-02-09,,Outstanding,120,1,90
INV-2026-00006,Delta Manufacturing,Enterprise,CloudServe Inc,174964.01,2025-12-22,2026-02-20,2026-02-17,Paid,57,0,0
INV-2026-00007,Lumen Software,SMB,WorkCapital Hub,6127.9,2026-01-19,2026-02-18,2026-02-10,Paid,22,0,0
INV-2026-00008,Keystone Energy,Enterprise,TradeLedger Finance,73416.83,2025-02-10,2025-04-11,2025-04-10,Paid,59,0,0
INV-2026-00009,Juniper Consulting,Mid-Market,FleetManage Co,10590.1,2026-03-15,2026-04-29,,Outstanding,56,1,11
INV-2026-00010,Union Transport,Mid-Market,InsightOps Ltd,31594.03,2024-11-19,2025-01-03,2024-12-30,Paid,41,0,0
INV-2026-00011,Meridian Pharma,Enterprise,NetScale Partners,42752.16,2025-09-19,2025-11-18,2025-11-17,Paid,59,0,0
INV-2026-00012,Brightline Retail,SMB,CloudServe Inc,7000.09,2026-01-03,2026-02-02,2026-03-01,Late,57,1,27
INV-2026-00013,Ironclad Security,SMB,CloudServe Inc,5375.52,2025-07-09,2025-08-08,2025-09-14,Late,67,1,37
INV-2026-00014,Vertex Biotech,Enterprise,PayFlow Technologies,127597.06,2025-04-16,2025-06-15,2025-06-15,Paid,60,0,0
INV-2026-00015,Keystone Energy,Enterprise,SupplyChain Pro,38957.42,2025-05-08,2025-07-07,2025-06-28,Paid,51,0,0
INV-2026-00016,Evergreen Health,Mid-Market,FleetManage Co,32852.82,2026-03-17,2026-05-01,2026-04-26,Paid,40,0,0
INV-2026-00017,Horizon Media,Mid-Market,GreenLedger Systems,8506.0,2025-11-20,2026-01-04,2025-12-31,Paid,41,0,0
INV-2026-00018,Westfield Properties,Mid-Market,SupplyChain Pro,43767.06,2025-08-10,2025-09-24,2025-09-21,Paid,42,0,0
INV-2026-00019,Lumen Software,SMB,SupplyChain Pro,10909.15,2025-12-18,2026-01-17,2026-01-29,Late,42,1,12
INV-2026-00020,Horizon Media,Mid-Market,PayFlow Technologies,39264.57,2026-01-26,2026-03-12,2026-03-08,Paid,41,0,0
INV-2026-00021,Keystone Energy,Enterprise,SupplyChain Pro,125726.22,2025-05-01,2025-06-30,2025-06-26,Paid,56,0,0
INV-2026-00022,Brightline Retail,SMB,SupplyChain Pro,2418.67,2025-02-20,2025-03-22,2025-03-17,Paid,25,0,0
INV-2026-00023,Evergreen Health,Mid-Market,DataPipe Solutions,18874.79,2025-04-26,2025-06-10,2025-08-09,Late,105,1,60
INV-2026-00024,Xeno Packaging,SMB,NetScale Partners,6250.57,2025-08-03,2025-09-02,2025-08-24,Paid,21,0,0
INV-2026-00025,Northstar Wholesale,Mid-Market,CloudServe Inc,18262.76,2025-07-29,2025-09-12,2025-09-05,Paid,38,0,0
INV-2026-00026,Juniper Consulting,Mid-Market,FleetManage Co,9343.03,2025-09-05,2025-10-20,2025-10-11,Paid,36,0,0
INV-2026-00027,Quantum Analytics,SMB,FleetManage Co,2006.7,2025-12-15,2026-01-14,2026-01-11,Paid,27,0,0
INV-2026-00028,Acme Logistics,SMB,FleetManage Co,10093.65,2025-01-31,2025-03-02,2025-02-26,Paid,26,0,0
INV-2026-00029,Xeno Packaging,SMB,NetScale Partners,3666.81,2025-10-24,2025-11-23,2025-12-06,Late,43,1,13
